State,Zip Code,Place Name,County,Lat,Long
PA,19137,Philadelphia,Philadelphia,40.0008,-75.0727
VA,24093,Glen Lyn,Giles,37.3669,-80.8634
IN,47579,Santa Claus,Spencer,38.1176,-86.9286
CA,96162,Truckee,Nevada,39.328,-120.1833
WV,25025,Blount,Kanawha,38.3121,-81.4052
TX,77059,Houston,Harris,29.5975,-95.1134
VA,23464,Virginia Beach,Virginia Beach (city),36.7978,-76.1759
PA,19047,Langhorne,Bucks,40.1813,-74.9104
GA,30510,Alto,Habersham,34.4591,-83.602
HI,96817,Honolulu,Honolulu,21.3295,-157.8615
FL,33957,Sanibel,Lee,26.4514,-82.0868
VA,24250,Fort Blackmore,Scott,36.7438,-82.6102
PA,18324,Bushkill,Pike,41.1285,-75.0132
ND,58703,Minot,Ward,48.3306,-101.3156
CA,92266,Palo Verde,Imperial,33.3696,-114.7355
NY,14141,Springville,Erie,42.52,-78.6847
IL,61940,Metcalf,Edgar,39.8008,-87.7955
MN,56186,Woodstock,Pipestone,43.9873,-96.1192
CA,93656,Riverdale,Fresno,36.4295,-119.872
NY,14841,Hector,Schuyler,42.4966,-76.8786
RI,2806,Barrington,Bristol,41.7443,-71.3175
DC,20241,Washington,District of Columbia,38.8933,-77.0146
ND,58061,Mooreton,Richland,46.2686,-96.8762
AZ,85610,Elfrida,Cochise,31.7139,-109.6193
PA,15856,Rockton,Clearfield,41.0806,-78.6577
NY,12436,Haines Falls,Greene,42.1955,-74.1023
WV,25315,Charleston,Kanawha,38.2351,-81.5536
VA,23288,Henrico,Henrico,37.4638,-77.398
OR,97377,Shedd,Linn,44.453,-123.1065
CO,80124,Lone Tree,Douglas,39.5517,-104.8863
CA,95490,Willits,Mendocino,39.4493,-123.3679
CA,93626,Friant,Fresno,37.0422,-119.6807
AR,72126,Perryville,Perry,34.9701,-92.8472
PA,19139,Philadelphia,Philadelphia,39.9612,-75.2303
AZ,85619,Mount Lemmon,Pima,32.3763,-110.7605
CA,95131,San Jose,Santa Clara,37.3864,-121.88
MO,63032,Florissant,St. Louis,38.6383,-90.4271
IL,60602,Chicago,Cook,41.8829,-87.6321
MI,48244,Detroit,Wayne,42.2399,-83.1508
NY,11756,Levittown,Nassau,40.7254,-73.5166
NE,68665,Spalding,Greeley,41.6874,-98.3715
CA,94132,San Francisco,City and County of San Francisco,37.7211,-122.4754
TN,37317,Copperhill,Polk,35.0207,-84.3748
NJ,8840,Metuchen,Middlesex,40.5449,-74.3517
VA,24566,Keeling,Pittsylvania,36.7156,-79.2783
TX,78768,Austin,Travis,30.2672,-97.7431
IL,60119,Elburn,Kane,41.8824,-88.4611
GA,30006,Marietta,Cobb,33.9526,-84.5499
KY,41859,Dema,Knott,37.3976,-82.7836
PA,17847,Milton,Northumberland,41.0168,-76.8398
CA,92602,Irvine,Orange,33.7419,-117.7467
CT,6512,New Haven,New Haven,41.3082,-72.9282
MN,55418,Minneapolis,Hennepin,45.0192,-93.2401
IA,52066,North Buena Vista,Clayton,42.6783,-90.9518
OH,45033,Hooven,Hamilton,39.1773,-84.7627
AR,72419,Caraway,Craighead,35.759,-90.3358
MO,65570,Success,Texas,37.4626,-92.0909
NE,68735,Ewing,Holt,42.1851,-98.3981
IN,47854,Hillsdale,Vermillion,39.7712,-87.4041
OH,44444,Newton Falls,Trumbull,41.191,-80.9701
CO,81131,Crestone,Saguache,37.953,-105.6879
CA,93670,Yettem,Tulare,36.4718,-119.2594
ND,58758,Martin,Sheridan,47.7781,-100.1225
OR,97833,Haines,Baker,44.8776,-117.9756
FL,33158,Miami,Miami-Dade,25.6364,-80.3187
MN,55101,Saint Paul,Ramsey,44.9512,-93.0902
WA,98195,Seattle,King,47.6564,-122.3048
IA,52310,Monticello,Jones,42.2326,-91.1989
GA,31698,Valdosta,Lowndes,30.8485,-83.2878
TX,75439,Ector,Fannin,33.5819,-96.2735
TX,75041,Garland,Dallas,32.8794,-96.6411
KS,66937,Clifton,Washington,39.6201,-97.2611
MI,49088,Scotts,Kalamazoo,42.1819,-85.4685
WY,83116,Diamondville,Lincoln,41.7839,-110.54
NC,27826,Fairfield,Hyde,35.5659,-76.2318
AR,72842,Havana,Yell,35.0832,-93.5955
IN,46350,La Porte,LaPorte,41.5994,-86.7077
TN,37729,Duff,Campbell,36.5086,-84.0454
KY,42444,Poole,Webster,37.641,-87.6439
NY,12405,Acra,Greene,42.3304,-74.0857
NY,11005,Floral Park,Queens,40.7571,-73.7182
SC,29342,Gaffney,Cherokee,34.9963,-81.6524
OH,45854,Lafayette,Allen,40.7582,-83.9499
FL,33913,Fort Myers,Lee,26.5228,-81.7065
GA,30161,Rome,Floyd,34.2507,-85.1465
NY,10960,Nyack,Rockland,41.0914,-73.9252
GA,31058,Mauk,Taylor,32.509,-84.3999
GA,39819,Bainbridge,Decatur,30.9039,-84.569
WA,98614,Chinook,Pacific,46.2729,-123.9454
MT,59729,Ennis,Madison,45.3545,-111.687
GA,31033,Haddock,Jones,33.0519,-83.4312
WV,25630,Lorado,Logan,37.7957,-81.7148
KY,42206,Auburn,Logan,36.8818,-86.7198
WI,54701,Eau Claire,Eau Claire,44.784,-91.4877
KY,40729,East Bernstadt,Laurel,37.2488,-84.138
FL,33637,Tampa,Hillsborough,28.0338,-82.3659
TX,78257,San Antonio,Bexar,29.6495,-98.6137
WA,99155,Nespelem,Okanogan,48.1434,-119.0094
FL,34264,Oneco,Manatee,27.4475,-82.5462
MO,65261,Keytesville,Chariton,39.4794,-92.9302
MS,38820,Algoma,Pontotoc,34.1715,-89.0328
PA,17748,Mc Elhattan,Clinton,41.1355,-77.37
OH,45327,Germantown,Montgomery,39.6244,-84.3764
IL,61801,Urbana,Champaign,40.1095,-88.2036
MT,59253,Peerless,Daniels,48.7808,-105.8006
MT,59732,Glen,Beaverhead,45.4766,-112.6906
NY,12770,Pond Eddy,Sullivan,41.4511,-74.841
LA,70166,New Orleans,Orleans,29.9546,-90.0751
IL,62985,Simpson,Johnson,37.4673,-88.7551
FL,32277,Jacksonville,Duval,30.3704,-81.5864
CO,80807,Burlington,Kit Carson,39.3106,-102.2583
IA,50478,Thompson,Winnebago,43.3875,-93.7517
OK,74051,Ochelata,Washington,36.5947,-95.9691
AZ,85281,Tempe,Maricopa,33.4227,-111.9261
WA,98433,Tacoma,Pierce,47.1125,-122.5891
LA,71447,Lena,Rapides,31.4207,-92.8312
WV,26285,Norton,Randolph,38.9318,-79.9656
OR,97308,Salem,Marion,44.9429,-123.0351
GA,30081,Smyrna,Cobb,33.8588,-84.7106
MO,63441,Frankford,Pike,39.4892,-91.3031
FL,34101,Naples,Collier,26.1423,-81.796
NJ,8650,Trenton,Mercer,40.2805,-74.712
MN,55318,Chaska,Carver,44.8061,-93.6083
GA,31062,Milledgeville,Baldwin,33.0491,-83.2174
MD,20814,Bethesda,Montgomery,39.0003,-77.1022
NY,12920,Chateaugay,Franklin,44.9088,-74.0741
AR,72469,Strawberry,Lawrence,35.9673,-91.2935
UT,84304,Cache Junction,Cache,41.8169,-111.9982
TX,79336,Levelland,Hockley,33.5788,-102.3676
NC,27207,Bear Creek,Chatham,35.6129,-79.3726
CO,80402,Golden,Jefferson,39.7555,-105.2211
TX,79316,Brownfield,Terry,33.1698,-102.2762
MT,59077,Sand Springs,Garfield,47.1008,-107.4856
MN,56115,Balaton,Lyon,44.2253,-95.8838
MS,39173,Tinsley,Yazoo,32.7628,-90.3628
MO,64020,Concordia,Lafayette,38.9776,-93.5812
NC,28075,Harrisburg,Cabarrus,35.3247,-80.6594
MO,63010,Arnold,Jefferson,38.4305,-90.387
MA,2718,East Taunton,Bristol,41.8736,-71.0192
PA,19608,Reading,Berks,40.3113,-76.0345
NY,12184,Valatie,Columbia,42.4321,-73.6683
WV,25266,Newton,Roane,38.606,-81.1623
MD,21093,Lutherville Timonium,Baltimore,39.4332,-76.6546
MA,1222,Ashley Falls,Berkshire,42.0596,-73.3202
DC,20074,Washington,District of Columbia,38.8933,-77.0146
IN,47683,Somerville,Gibson,38.2764,-87.3778
OR,97303,Salem,Marion,44.9927,-123.0167
TX,77878,Snook,Burleson,30.4702,-96.4804
WV,25076,Ethel,Logan,37.8665,-81.9123
OH,45404,Dayton,Montgomery,39.7862,-84.1622
AZ,86343,Crown King,Yavapai,34.2241,-112.334
NC,28543,Tarawa Terrace,Onslow,34.7354,-77.3831
CA,91423,Sherman Oaks,Los Angeles,34.1526,-118.4322
WI,54512,Boulder Junction,Vilas,46.1112,-89.6325
DC,20011,Washington,District of Columbia,38.9518,-77.0203
IA,52625,Donnellson,Lee,40.6612,-91.5745
AL,35285,Birmingham,Jefferson,33.5446,-86.9292
UT,84315,Hooper,Weber,41.1668,-112.1364
AL,35648,Lexington,Lauderdale,34.9559,-87.3935
WV,26559,Barrackville,Marion,39.5052,-80.1725
IL,60169,Hoffman Estates,Cook,42.0493,-88.1065
CA,92222,Bard,Imperial,32.7822,-114.5619
FL,33023,Hollywood,Broward,25.9894,-80.2153
KY,40068,Smithfield,Henry,38.3933,-85.2656
MS,39288,Pearl,Rankin,32.2746,-90.132
ME,4414,Brownville,Piscataquis,45.3412,-69.0423
IA,50078,Ferguson,Marshall,41.9374,-92.865
KY,41230,Louisa,Lawrence,38.1043,-82.6056
PA,17536,Kirkwood,Lancaster,39.8257,-76.0933
NY,11351,Flushing,Queens,40.7817,-73.8317
TX,79934,El Paso,El Paso,31.9386,-106.4073
NY,12804,Queensbury,Warren,43.329,-73.6818
ND,58257,Mayville,Traill,47.5014,-97.3176
KY,40927,Closplint,Harlan,36.8713,-83.0414
SC,29404,Charleston Afb,Charleston,32.8982,-80.0686
WY,82838,Parkman,Sheridan,44.965,-107.3254
WA,98382,Sequim,Clallam,48.0881,-123.1198
PA,18439,Lakewood,Wayne,41.8171,-75.3838
ID,83842,Medimont,Kootenai,47.4625,-116.5683
OH,45891,Van Wert,Van Wert,40.8689,-84.5904
CO,80248,Denver,Denver,39.7392,-104.9847
NC,28771,Robbinsville,Graham,35.3259,-83.7888
ME,4841,Rockland,Knox,44.1123,-69.1139
IA,50167,Minburn,Dallas,41.7562,-94.015
FL,33186,Miami,Miami-Dade,25.6694,-80.4085
OH,45044,Middletown,Butler,39.5151,-84.3983
CA,93386,Bakersfield,Kern,35.2944,-118.9052
ND,58318,Bottineau,Bottineau,48.8451,-100.4329
TX,75960,Moscow,Polk,30.9179,-94.8544
CA,91394,Granada Hills,Los Angeles,34.2647,-118.5231
NE,68714,Bassett,Rock,42.5763,-99.5387
FL,34603,Brooksville,Hernando,28.5642,-82.4165
CT,6354,Moosup,Windham,41.721,-71.885
FL,32658,La Crosse,Alachua,29.8433,-82.4048
WV,25303,South Charleston,Kanawha,38.3684,-81.6996
KY,40946,Green Road,Knox,36.8713,-83.83
UT,84008,Bonanza,Uintah,40.0211,-109.1773
MO,63117,Saint Louis,St. Louis,38.6295,-90.3342
AR,72168,Tucker,Jefferson,34.4414,-91.9163
MO,64166,Kansas City,Clay,39.3294,-94.5199
AK,99754,Koyukuk,Yukon-Koyukuk (CA),64.8803,-157.7008
VT,5640,Adamant,Washington,44.3575,-72.5046
DC,20470,Washington,District of Columbia,38.8933,-77.0146
CO,81244,Rockvale,Fremont,38.3697,-105.1639
VA,20138,Calverton,Fauquier,38.6338,-77.6869
RI,2842,Middletown,Newport,41.5198,-71.2731
NC,28010,Barium Springs,Iredell,35.7192,-80.8991
MN,55705,Aurora,St. Louis,47.4951,-92.2415
CA,90030,Los Angeles,Los Angeles,34.0522,-118.2437
NC,27805,Aulander,Bertie,36.1475,-77.1141
GA,30024,Suwanee,Gwinnett,34.0425,-84.0262
NE,68445,Swanton,Saline,40.3844,-97.0806
OK,73666,Sweetwater,Roger Mills,35.4488,-99.9006
MN,56547,Glyndon,Clay,46.882,-96.5583
CA,94522,Concord,Contra Costa,37.978,-122.0311
FL,33206,Miami,Miami-Dade,25.7743,-80.1937
VA,22603,Winchester,Frederick,39.264,-78.1989
CA,90223,Compton,Los Angeles,33.8958,-118.2201
CO,80108,Castle Rock,Douglas,39.4455,-104.853
MI,48555,Flint,Genesee,43.0113,-83.7108
MI,48067,Royal Oak,Oakland,42.4906,-83.1366
TX,78013,Comfort,Kendall,29.9677,-98.905
CT,6763,Morris,Litchfield,41.6881,-73.1765
SC,29860,North Augusta,Aiken,33.6028,-81.9748
IA,50123,Humeston,Wayne,40.8469,-93.5101
GA,30078,Snellville,Gwinnett,33.8635,-84.0081
IA,51570,Shelby,Pottawattamie,41.5339,-95.4469
MO,65583,Waynesville,Pulaski,37.7676,-92.2105
TX,77009,Houston,Harris,29.7936,-95.3675
NY,13763,Endicott,Broome,42.0984,-76.0494
AR,72427,Egypt,Craighead,35.864,-90.9428
FL,34958,Jensen Beach,Martin,27.2424,-80.2246
WI,53274,Milwaukee,Milwaukee,43.0389,-87.9065
PA,15329,Prosperity,Washington,40.0224,-80.2613
OH,43901,Adena,Jefferson,40.2126,-80.8815
MA,1247,North Adams,Berkshire,42.6955,-73.08
NE,69212,Crookston,Cherry,42.9255,-100.7735
MI,49725,De Tour Village,Chippewa,45.9939,-83.9396
ME,4933,East Newport,Penobscot,44.8209,-69.2225
NY,10119,New York,New York,40.7808,-73.9772
DC,20425,Washington,District of Columbia,38.8933,-77.0146
TX,75903,Lufkin,Angelina,31.2766,-94.5676
CA,92109,San Diego,San Diego,32.7969,-117.2405
VA,23038,Columbia,Goochland,37.7147,-78.1794
TX,79563,Tye,Taylor,32.4477,-99.8684
HI,96825,Honolulu,Honolulu,21.2987,-157.6985
WI,54226,Maplewood,Door,44.7475,-87.4793
WV,26385,Lost Creek,Harrison,39.1725,-80.3777
KS,67544,Hoisington,Barton,38.4789,-98.7565
AZ,85624,Patagonia,Santa Cruz,31.5353,-110.6968
TX,76240,Gainesville,Cooke,33.6547,-97.1583
MO,63052,Imperial,Jefferson,38.4069,-90.4381
WI,53581,Richland Center,Richland,43.3661,-90.4302
NM,88231,Eunice,Lea,32.4392,-103.1594
OR,97077,Beaverton,Washington,45.4871,-122.8037
MD,21014,Bel Air,Harford,39.5394,-76.3564
WY,82401,Worland,Washakie,44.0138,-107.9563
WI,54656,Sparta,Monroe,43.954,-90.8146
KY,41773,Vicco,Perry,37.202,-83.0658
IL,60661,Chicago,Cook,41.8814,-87.643
MT,59722,Deer Lodge,Powell,46.3881,-112.7476
OR,97038,Molalla,Clackamas,45.1223,-122.5756
NH,3073,North Salem,Rockingham,42.837,-71.2206
NH,3851,Milton,Strafford,43.4229,-71.0114
IA,50206,New Providence,Hardin,42.2693,-93.1753
WA,98481,Tacoma,Pierce,47.2529,-122.4443
CA,93621,Dunlap,Fresno,36.7446,-119.0899
AR,72167,Traskwood,Saline,34.4508,-92.6547
NH,3885,Stratham,Rockingham,43.0194,-70.8997
NY,14807,Arkport,Steuben,42.4225,-77.6918
MI,49826,Rumely,Alger,46.3483,-87.0332
OR,97702,Bend,Deschutes,44.0223,-121.2985
MN,55814,Duluth,St. Louis,46.7833,-92.1066
AK,99756,Manley Hot Springs,Yukon-Koyukuk (CA),65.0011,-150.6339
FL,32211,Jacksonville,Duval,30.348,-81.5882
VA,22727,Madison,Madison,38.37,-78.2976
TX,75231,Dallas,Dallas,32.8756,-96.7495
WI,54660,Tomah,Monroe,43.9838,-90.4733
CA,96135,Vinton,Plumas,39.8043,-120.1783
CA,91723,Covina,Los Angeles,34.086,-117.8843
MD,21221,Essex,Baltimore,39.3086,-76.4533
ME,4003,Bailey Island,Cumberland,43.7341,-69.9952
AR,72366,Marvell,Phillips,34.5485,-90.9413
NC,28610,Claremont,Catawba,35.7211,-81.1297
MN,55327,Dayton,Hennepin,45.1982,-93.4668
MN,56339,Hoffman,Grant,45.8233,-95.7955
LA,71425,Enterprise,Catahoula,31.9064,-91.8751
NY,11739,Great River,Suffolk,40.7297,-73.1607
CA,92165,San Diego,San Diego,32.7153,-117.1573
TX,78538,Edcouch,Hidalgo,26.3328,-97.9622
FL,33039,Homestead,Miami-Dade,25.5021,-80.3997
VA,24622,Jewell Ridge,Tazewell,37.2094,-81.7956
TX,76476,Tolar,Hood,32.3772,-97.8802
ME,4945,Jackman,Somerset,45.6351,-70.2492
TX,79240,Lelia Lake,Donley,34.8843,-100.7674
KY,42419,Henderson,Henderson,37.8072,-87.5991
ID,83872,Viola,Latah,46.8583,-116.9732
MN,55769,Nashwauk,Itasca,47.42,-93.2168
CA,92203,Indio,Riverside,33.7532,-116.2676
VA,23359,Hallwood,Accomack,37.8837,-75.6041
NV,89424,Nixon,Washoe,39.8272,-119.3605
MI,48012,Birmingham,Oakland,42.5467,-83.2113
CA,94293,Sacramento,Sacramento,38.5816,-121.4944
PA,15639,Hunker,Westmoreland,40.2149,-79.5824
SD,57442,Gettysburg,Potter,45.0259,-99.9766
VA,22161,Springfield,Fairfax,38.7893,-77.1872
LA,70002,Metairie,Jefferson Parish,30.0098,-90.163
NE,69020,Bartley,Red Willow,40.2581,-100.2908
VA,23242,Henrico,Henrico,37.4638,-77.398
VT,5667,Plainfield,Washington,44.2622,-72.4224
HI,96814,Honolulu,Honolulu,21.2998,-157.8439
GA,30127,Powder Springs,Cobb,33.9135,-84.6859
KY,42154,Knob Lick,Metcalfe,37.0556,-85.6985
CA,94130,San Francisco,City and County of San Francisco,37.8231,-122.3693
VT,5744,Florence,Rutland,43.7093,-73.079
UT,84639,Levan,Juab,39.5215,-111.9438
TX,75050,Grand Prairie,Dallas,32.7649,-97.0112
ND,58224,Dahlen,Nelson,48.1599,-97.9573
WI,53784,Madison,Dane,43.0489,-89.3384
MN,56566,Naytahwaush,Mahnomen,47.2601,-95.6283
AR,72209,Little Rock,Pulaski,34.6725,-92.3529
NJ,7040,Maplewood,Essex,40.7279,-74.2656
TX,78664,Round Rock,Williamson,30.5145,-97.668
PA,16422,Harmonsburg,Crawford,41.6609,-80.3178
MN,55127,Saint Paul,Ramsey,45.0803,-93.0875
WI,54221,Manitowoc,Manitowoc,44.1323,-87.599
TX,75252,Dallas,Dallas,32.9968,-96.7921
TX,75692,Waskom,Harrison,32.5184,-94.1355
OH,43501,Alvordton,Williams,41.6625,-84.4355
NJ,7013,Clifton,Passaic,40.8693,-74.1711
TX,77234,Houston,Harris,29.834,-95.4342
VA,20113,Manassas,Manassas Park (city),38.7709,-77.4494
CT,6254,North Franklin,New London,41.6161,-72.1425
IL,61846,Georgetown,Vermilion,39.9792,-87.6365
NJ,8074,Richwood,Gloucester,39.7206,-75.1681
IN,47974,Perrysville,Vermillion,40.0737,-87.4648
IN,47282,Vernon,Jennings,38.9848,-85.6094
TX,76305,Wichita Falls,Wichita,33.9995,-98.3938
WI,54566,Wabeno,Forest,45.4332,-88.6625
ID,83611,Cascade,Valley,44.6927,-115.6417
SD,57213,Astoria,Deuel,44.5735,-96.5416
MN,56738,Newfolden,Marshall,48.2895,-96.255
LA,70739,Greenwell Springs,East Baton Rouge Parish,30.5984,-90.9705
WA,99256,Spokane,Spokane,47.6536,-117.4317
CA,94172,San Francisco,City and County of San Francisco,37.7749,-122.4194
MD,20697,Southern Md Facility,Prince George's,38.8336,-76.8777
CA,90255,Huntington Park,Los Angeles,33.9769,-118.2161
WV,25676,Lenore,Mingo,37.7431,-82.108
MI,48430,Fenton,Genesee,42.7851,-83.7294
NC,27413,Greensboro,Guilford,36.0726,-79.792
MS,38923,Coila,Carroll,33.3731,-89.9915
IA,50026,Bagley,Guthrie,41.8341,-94.4415
KY,41262,Tomahawk,Martin,37.8687,-82.5971
CA,92339,Forest Falls,San Bernardino,34.0937,-116.9362
IL,62052,Jerseyville,Jersey,39.1213,-90.3338
PA,15242,Pittsburgh,Allegheny,40.4344,-80.0248
GA,30180,Villa Rica,Carroll,33.7173,-84.9297
OH,43935,Martins Ferry,Belmont,40.1036,-80.7361
MD,21762,Libertytown,Frederick,39.4822,-77.2468
WI,54765,Sand Creek,Dunn,45.1429,-91.6998
LA,70803,Baton Rouge,East Baton Rouge Parish,30.405,-91.1868
CA,90087,Los Angeles,Los Angeles,34.0522,-118.2437
GA,30220,Grantville,Coweta,33.2473,-84.835
MD,21090,Linthicum Heights,Anne Arundel,39.2092,-76.6681
AR,72937,Hackett,Sebastian,35.1945,-94.3983
NJ,8001,Alloway,Salem,39.5591,-75.3506
ID,83303,Twin Falls,Twin Falls,42.563,-114.4609
NC,27340,Saxapahaw,Alamance,35.9488,-79.3297
PA,18801,Montrose,Susquehanna,41.8396,-75.8821
IL,62351,Mendon,Adams,40.0857,-91.2899
TX,77971,Lolita,Jackson,28.7724,-96.4793
OK,73741,Helena,Alfalfa,36.5438,-98.2778
TX,75702,Tyler,Smith,32.362,-95.3117
NY,13804,Masonville,Delaware,42.2102,-75.3739
PA,16116,Edinburg,Lawrence,41.0276,-80.4632
TX,77258,Houston,Harris,29.834,-95.4342
NC,27668,Raleigh,Wake,35.7977,-78.6253
DC,20058,Washington,District of Columbia,38.8933,-77.0146
MO,64114,Kansas City,Jackson,38.9621,-94.5959
NV,88905,The Lakes,Clark,35.9279,-114.9721
ID,83466,North Fork,Lemhi,45.4242,-114.0419
OH,45042,Middletown,Butler,39.5321,-84.3896
OH,44210,Bath,Summit,41.1889,-81.6362
PA,16057,Slippery Rock,Butler,41.0454,-80.0468
FL,33239,Miami Beach,Miami-Dade,25.7907,-80.13
PA,19493,Valley Forge,Chester,40.0971,-75.4696
OH,43772,Pleasant City,Guernsey,39.9095,-81.558
